Date,Description,Amount,Category
2026-03-23,School Supplies,-107.37,Education
2026-03-24,Online Class,-197.44,Education
2026-03-17,Airbnb,-190.38,Travel
2026-03-06,Airbnb,-78.47,Travel
2026-03-03,Dinner at Luigi's,-198.99,Food & Dining
2026-03-04,Phone Bill,-49.54,Bills & Utilities
2026-03-21,Online Class,-71.07,Education
2026-03-12,Uber Eats,-131.5,Food & Dining
2026-03-09,Clothing Boutique,-144.35,Shopping
2026-03-12,Charity Donation,-134.3,Other
2026-03-16,Gift,-125.61,Other
2026-03-22,Movie Theater,-93.68,Entertainment
2026-03-03,Udemy Course,-169.34,Education
2026-03-26,Local Grocery,-96.88,Food & Dining
2026-03-19,Doctor Visit,-75.74,Healthcare
2026-03-06,Concert Tickets,-152.24,Entertainment
2026-03-20,Starbucks,-28.41,Food & Dining
2026-03-02,Salary / Payroll,10000.0,Income
2026-03-23,Rent,-1336.77,Bills & Utilities
2026-03-07,Auto Repair,-145.39,Transportation
2026-03-10,Pharmacy,-41.85,Healthcare
2026-03-24,Spotify,-119.11,Entertainment
2026-03-20,School Supplies,-130.75,Education
2026-03-13,Hilton Hotel,-101.82,Travel
2026-03-02,Water Bill,-72.65,Bills & Utilities
2026-03-05,Electric Bill,-168.33,Bills & Utilities
2026-03-24,Electric Bill,-76.44,Bills & Utilities
2026-03-05,Airbnb,-29.35,Travel
2026-03-10,Pharmacy,-19.91,Healthcare
2026-03-01,Electric Bill,-15.92,Bills & Utilities
2026-03-08,Airbnb,-20.57,Travel
2026-03-01,Local Grocery,-20.95,Food & Dining
2026-03-08,Dental Clinic,-189.49,Healthcare
2026-03-26,Steam Games,-152.83,Entertainment
2026-03-07,Amazon,-193.78,Shopping
2026-03-23,Shell Gas,-145.3,Transportation
2026-03-19,Car Rental,-64.96,Travel
2026-03-24,Water Bill,-142.49,Bills & Utilities
2026-03-22,Bookstore,-170.91,Education
